,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51
232,51.0,53.0,52.0,53.0,52.0,53.0,51.0,52.0,54.0,52.0,53.0,52.0,54.0,53.0,53.0,50.0,53.0,54.0,52.0,52.0,54.0,53.0,53.0,52.0,55.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,54.0,53.0
233,51.0,51.0,51.0,53.0,54.0,53.0,52.0,54.0,52.0,51.0,55.0,52.0,52.0,52.0,52.0,52.0,51.0,50.0,52.0,53.0,52.0,54.0,51.0,52.0,54.0,50.0,52.0,52.0,51.0,53.0,54.0,51.0,52.0,52.0,52.0,54.0,51.0,52.0,53.0,55.0,51.0,52.0,52.0,54.0,54.0,52.0,50.0,51.0,51.0,55.0,51.0,54.0
234,52.0,56.0,53.0,52.0,53.0,52.0,53.0,51.0,50.0,53.0,54.0,51.0,50.0,53.0,51.0,51.0,51.0,52.0,51.0,53.0,53.0,53.0,53.0,52.0,54.0,51.0,51.0,52.0,55.0,54.0,51.0,53.0,52.0,52.0,52.0,50.0,51.0,53.0,52.0,54.0,51.0,52.0,52.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,54.0,55.0
235,51.0,53.0,53.0,53.0,52.0,51.0,51.0,52.0,51.0,52.0,58.0,51.0,51.0,54.0,55.0,53.0,52.0,53.0,50.0,50.0,52.0,55.0,52.0,51.0,55.0,53.0,53.0,54.0,54.0,51.0,48.0,51.0,55.0,54.0,53.0,53.0,51.0,50.0,54.0,53.0,54.0,50.0,53.0,53.0,50.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0
236,51.0,55.0,53.0,51.0,54.0,53.0,52.0,53.0,52.0,53.0,55.0,50.0,53.0,52.0,53.0,50.0,52.0,53.0,50.0,52.0,52.0,52.0,54.0,51.0,53.0,52.0,55.0,54.0,51.0,53.0,55.0,52.0,53.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,52.0,54.0,52.0,53.0,53.0,51.0,54.0,53.0,52.0,52.0,49.0,52.0
237,51.0,53.0,55.0,53.0,51.0,52.0,51.0,51.0,53.0,52.0,53.0,50.0,53.0,52.0,51.0,49.0,53.0,53.0,51.0,53.0,52.0,54.0,53.0,51.0,53.0,52.0,54.0,53.0,52.0,53.0,53.0,54.0,55.0,53.0,52.0,53.0,53.0,54.0,51.0,50.0,53.0,52.0,52.0,52.0,55.0,55.0,54.0,53.0,52.0,53.0,54.0,52.0
238,51.0,50.0,54.0,52.0,50.0,50.0,52.0,52.0,52.0,50.0,54.0,53.0,53.0,51.0,53.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0,52.0,54.0,53.0,51.0,53.0,53.0,52.0,54.0,51.0,53.0,53.0,55.0,52.0,52.0,53.0,53.0,52.0,53.0,51.0,51.0,52.0,52.0,52.0,52.0,55.0,53.0,53.0,51.0,53.0,55.0
239,50.0,51.0,51.0,53.0,52.0,50.0,52.0,53.0,51.0,53.0,52.0,51.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0,51.0,51.0,53.0,52.0,51.0,52.0,51.0,54.0,52.0,51.0,53.0,47.0,52.0,52.0,52.0,51.0,50.0,54.0,51.0,52.0,54.0,53.0,54.0,54.0,54.0,44.0,52.0,54.0,53.0,53.0,52.0,51.0,52.0
240,53.0,52.0,51.0,51.0,53.0,52.0,50.0,52.0,53.0,53.0,54.0,53.0,53.0,51.0,53.0,51.0,52.0,52.0,52.0,52.0,49.0,52.0,53.0,51.0,54.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,54.0,49.0,53.0,52.0,53.0,52.0,53.0,53.0,-34.0,51.0,54.0,54.0,55.0,51.0,52.0,51.0
241,52.0,52.0,53.0,53.0,52.0,52.0,53.0,52.0,53.0,51.0,52.0,53.0,51.0,51.0,52.0,50.0,53.0,52.0,52.0,51.0,52.0,51.0,52.0,50.0,52.0,53.0,50.0,53.0,52.0,54.0,51.0,53.0,55.0,54.0,51.0,50.0,53.0,52.0,55.0,53.0,51.0,51.0,52.0,54.0,-120.0,52.0,54.0,52.0,55.0,53.0,53.0,51.0
242,52.0,51.0,51.0,52.0,50.0,52.0,54.0,53.0,51.0,53.0,52.0,52.0,52.0,53.0,53.0,50.0,52.0,54.0,52.0,52.0,52.0,51.0,49.0,52.0,54.0,53.0,52.0,53.0,53.0,54.0,49.0,53.0,53.0,52.0,52.0,51.0,51.0,53.0,50.0,53.0,53.0,53.0,49.0,53.0,-77.0,51.0,53.0,53.0,54.0,52.0,52.0,54.0
243,53.0,51.0,52.0,54.0,54.0,53.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,50.0,52.0,52.0,53.0,53.0,52.0,52.0,51.0,53.0,53.0,51.0,50.0,51.0,50.0,53.0,52.0,52.0,54.0,53.0,51.0,52.0,52.0,53.0,51.0,50.0,52.0,52.0,53.0,54.0,-7.0,52.0,51.0,50.0,51.0,52.0,54.0,52.0
244,51.0,55.0,53.0,53.0,51.0,51.0,51.0,53.0,51.0,53.0,52.0,51.0,52.0,51.0,53.0,50.0,53.0,53.0,52.0,49.0,52.0,51.0,52.0,51.0,55.0,55.0,52.0,52.0,51.0,54.0,51.0,52.0,53.0,53.0,52.0,51.0,52.0,54.0,51.0,54.0,52.0,53.0,55.0,53.0,24.0,54.0,52.0,52.0,53.0,54.0,53.0,54.0
245,51.0,53.0,54.0,51.0,51.0,55.0,51.0,52.0,52.0,52.0,54.0,53.0,51.0,53.0,53.0,51.0,54.0,53.0,53.0,53.0,51.0,50.0,51.0,54.0,54.0,54.0,52.0,51.0,53.0,52.0,52.0,50.0,53.0,52.0,53.0,51.0,51.0,51.0,51.0,55.0,54.0,54.0,53.0,52.0,36.0,53.0,52.0,53.0,53.0,54.0,55.0,55.0
246,53.0,52.0,51.0,53.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,49.0,52.0,51.0,50.0,53.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,53.0,52.0,54.0,53.0,52.0,53.0,52.0,53.0,49.0,52.0,55.0,51.0,52.0,54.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,49.0,50.0,52.0,53.0,53.0,52.0,53.0,54.0
247,51.0,54.0,55.0,53.0,51.0,52.0,52.0,51.0,51.0,52.0,49.0,52.0,51.0,52.0,51.0,52.0,53.0,55.0,54.0,52.0,53.0,54.0,50.0,53.0,54.0,54.0,50.0,53.0,52.0,51.0,52.0,52.0,55.0,53.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,53.0,55.0,50.0,49.0,53.0,52.0,50.0,51.0,52.0,52.0,53.0
248,51.0,53.0,53.0,52.0,50.0,50.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,51.0,53.0,52.0,53.0,53.0,50.0,53.0,53.0,52.0,54.0,50.0,49.0,52.0,52.0,52.0,52.0,55.0,53.0,53.0,52.0,52.0,53.0,53.0,51.0,51.0,53.0,53.0,39.0,52.0,52.0,52.0,53.0,54.0,52.0,54.0
249,51.0,53.0,53.0,52.0,52.0,51.0,52.0,51.0,52.0,53.0,52.0,55.0,51.0,53.0,56.0,53.0,53.0,50.0,51.0,55.0,52.0,53.0,50.0,52.0,53.0,52.0,53.0,54.0,53.0,52.0,49.0,49.0,53.0,54.0,53.0,49.0,53.0,52.0,52.0,54.0,51.0,52.0,52.0,52.0,40.0,52.0,53.0,52.0,51.0,53.0,51.0,53.0
250,53.0,52.0,51.0,52.0,51.0,54.0,51.0,54.0,50.0,52.0,52.0,51.0,52.0,54.0,53.0,54.0,52.0,53.0,53.0,55.0,51.0,52.0,53.0,51.0,55.0,53.0,51.0,53.0,50.0,53.0,51.0,51.0,54.0,52.0,52.0,53.0,54.0,51.0,52.0,52.0,52.0,53.0,52.0,53.0,50.0,52.0,53.0,51.0,52.0,53.0,52.0,51.0
251,51.0,52.0,53.0,52.0,52.0,53.0,51.0,54.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,54.0,51.0,55.0,54.0,51.0,52.0,53.0,52.0,54.0,53.0,52.0,53.0,53.0,53.0,52.0,57.0,54.0,54.0,52.0,51.0,52.0,54.0,53.0,52.0,54.0,53.0,54.0,53.0,54.0,49.0,52.0,52.0,51.0,54.0,54.0,53.0,53.0
252,50.0,53.0,51.0,51.0,52.0,51.0,52.0,53.0,51.0,52.0,53.0,52.0,55.0,54.0,54.0,56.0,51.0,52.0,52.0,52.0,51.0,56.0,51.0,52.0,53.0,55.0,52.0,54.0,53.0,52.0,51.0,53.0,52.0,53.0,55.0,51.0,50.0,53.0,51.0,52.0,52.0,53.0,53.0,52.0,49.0,53.0,53.0,55.0,51.0,52.0,52.0,54.0
253,51.0,52.0,53.0,53.0,54.0,53.0,52.0,53.0,52.0,52.0,53.0,51.0,54.0,53.0,53.0,53.0,53.0,50.0,52.0,53.0,52.0,50.0,53.0,50.0,52.0,54.0,52.0,50.0,52.0,53.0,49.0,52.0,50.0,52.0,52.0,51.0,53.0,52.0,51.0,53.0,53.0,54.0,55.0,53.0,53.0,52.0,50.0,52.0,54.0,54.0,52.0,51.0
254,53.0,53.0,50.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0,52.0,51.0,54.0,54.0,52.0,52.0,53.0,54.0,52.0,52.0,54.0,50.0,52.0,51.0,53.0,53.0,53.0,54.0,55.0,52.0,52.0,52.0,54.0,52.0,50.0,49.0,54.0,53.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,51.0,51.0,52.0,53.0,53.0,51.0,52.0
255,50.0,53.0,54.0,52.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0,53.0,52.0,54.0,54.0,53.0,53.0,55.0,52.0,52.0,56.0,54.0,52.0,55.0,49.0,53.0,54.0,53.0,55.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,51.0,50.0,52.0,51.0,53.0,52.0,52.0,50.0,55.0
256,51.0,53.0,52.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,53.0,51.0,50.0,54.0,51.0,50.0,52.0,51.0,53.0,52.0,52.0,52.0,51.0,51.0,53.0,55.0,52.0,53.0,53.0,54.0,52.0,53.0,51.0,51.0,50.0,52.0,54.0,54.0,53.0,50.0,51.0,52.0,52.0,52.0,53.0,52.0,51.0
257,51.0,53.0,51.0,50.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,51.0,50.0,52.0,53.0,50.0,51.0,52.0,52.0,52.0,51.0,52.0,53.0,54.0,53.0,51.0,53.0,55.0,53.0,52.0,48.0,53.0,52.0,53.0,52.0,51.0,53.0,56.0,52.0,48.0,50.0,51.0,51.0,53.0,53.0,51.0,53.0
258,53.0,49.0,23.0,52.0,51.0,53.0,52.0,53.0,51.0,51.0,52.0,52.0,52.0,53.0,53.0,49.0,53.0,53.0,51.0,52.0,51.0,54.0,51.0,51.0,53.0,51.0,53.0,55.0,51.0,52.0,53.0,53.0,55.0,56.0,51.0,53.0,53.0,54.0,53.0,52.0,53.0,53.0,52.0,54.0,50.0,53.0,51.0,50.0,53.0,52.0,52.0,52.0
259,54.0,51.0,-107.0,53.0,53.0,50.0,51.0,52.0,51.0,53.0,52.0,53.0,52.0,53.0,50.0,51.0,52.0,53.0,51.0,52.0,53.0,52.0,52.0,54.0,52.0,51.0,52.0,54.0,53.0,51.0,51.0,51.0,54.0,53.0,52.0,52.0,54.0,53.0,52.0,53.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0
260,53.0,52.0,-127.0,53.0,50.0,51.0,52.0,52.0,52.0,54.0,54.0,53.0,54.0,54.0,52.0,54.0,52.0,49.0,53.0,52.0,52.0,54.0,53.0,54.0,53.0,53.0,54.0,51.0,53.0,50.0,51.0,52.0,51.0,53.0,52.0,52.0,52.0,51.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,54.0,51.0,53.0,54.0,54.0,51.0,53.0
261,51.0,53.0,-45.0,55.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,50.0,54.0,52.0,53.0,50.0,55.0,53.0,54.0,52.0,53.0,52.0,52.0,54.0,49.0,54.0,53.0,54.0,53.0,52.0,51.0,53.0,54.0,52.0,49.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,52.0,55.0,53.0,52.0,52.0
262,36.0,53.0,24.0,51.0,54.0,52.0,51.0,53.0,54.0,49.0,53.0,54.0,52.0,52.0,51.0,49.0,51.0,51.0,52.0,53.0,53.0,51.0,52.0,51.0,52.0,51.0,52.0,55.0,54.0,55.0,51.0,53.0,55.0,51.0,53.0,51.0,53.0,54.0,53.0,52.0,53.0,49.0,51.0,53.0,51.0,54.0,51.0,51.0,53.0,53.0,52.0,55.0
263,-100.0,52.0,36.0,52.0,52.0,54.0,53.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,50.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,50.0,52.0,52.0,53.0,51.0,53.0,53.0,51.0,54.0,50.0,51.0,54.0,52.0,53.0,55.0,53.0,53.0,52.0,53.0,55.0,54.0,58.0,54.0,51.0,51.0,53.0,53.0,51.0,53.0
264,-127.0,53.0,45.0,52.0,53.0,53.0,54.0,52.0,50.0,53.0,51.0,51.0,55.0,54.0,53.0,50.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,52.0,54.0,51.0,53.0,51.0,52.0,51.0,55.0,53.0,53.0,52.0,50.0,54.0,49.0,52.0,52.0,54.0,54.0,54.0,52.0,54.0,52.0,52.0,53.0,50.0,54.0,53.0,52.0
265,-127.0,52.0,53.0,51.0,53.0,52.0,54.0,53.0,53.0,51.0,52.0,52.0,53.0,53.0,51.0,50.0,52.0,50.0,53.0,53.0,53.0,53.0,53.0,50.0,55.0,53.0,54.0,52.0,52.0,52.0,53.0,51.0,56.0,52.0,53.0,51.0,54.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,48.0,53.0,51.0,52.0,50.0,52.0,51.0,53.0
266,-48.0,51.0,46.0,53.0,52.0,52.0,51.0,52.0,54.0,52.0,52.0,51.0,49.0,52.0,52.0,51.0,54.0,53.0,53.0,53.0,52.0,53.0,50.0,52.0,53.0,52.0,52.0,51.0,53.0,52.0,50.0,51.0,52.0,52.0,52.0,53.0,54.0,54.0,51.0,52.0,53.0,54.0,53.0,53.0,51.0,54.0,53.0,51.0,51.0,52.0,53.0,52.0
267,17.0,49.0,36.0,53.0,52.0,52.0,54.0,49.0,52.0,52.0,52.0,52.0,51.0,53.0,52.0,49.0,52.0,50.0,52.0,52.0,53.0,53.0,51.0,50.0,54.0,55.0,51.0,53.0,51.0,51.0,50.0,53.0,53.0,52.0,55.0,53.0,52.0,53.0,50.0,51.0,53.0,52.0,53.0,54.0,56.0,52.0,51.0,52.0,53.0,51.0,52.0,51.0
268,30.0,50.0,42.0,53.0,51.0,51.0,52.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,50.0,54.0,52.0,54.0,51.0,54.0,52.0,52.0,53.0,52.0,49.0,53.0,53.0,53.0,53.0,50.0,53.0,52.0,53.0,53.0,51.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,52.0,51.0,51.0,51.0,54.0,51.0,52.0,51.0
269,45.0,54.0,48.0,52.0,53.0,51.0,51.0,52.0,52.0,54.0,49.0,52.0,51.0,53.0,51.0,50.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,54.0,52.0,50.0,53.0,51.0,52.0,53.0,53.0,53.0,51.0,51.0,53.0,52.0,53.0,51.0,51.0,52.0,54.0,53.0,49.0,52.0,55.0,54.0,50.0,53.0,53.0,53.0
270,50.0,52.0,44.0,52.0,53.0,51.0,56.0,54.0,51.0,53.0,52.0,50.0,53.0,50.0,53.0,52.0,50.0,52.0,52.0,52.0,51.0,53.0,52.0,52.0,53.0,52.0,52.0,51.0,50.0,51.0,52.0,51.0,51.0,52.0,52.0,52.0,54.0,52.0,53.0,54.0,52.0,51.0,53.0,53.0,52.0,51.0,53.0,51.0,53.0,53.0,52.0,53.0
271,34.0,51.0,50.0,54.0,52.0,52.0,52.0,53.0,52.0,53.0,54.0,51.0,52.0,52.0,50.0,53.0,54.0,52.0,54.0,51.0,54.0,51.0,51.0,53.0,52.0,53.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,51.0,52.0,54.0,51.0,53.0,53.0,53.0,51.0,53.0,51.0,56.0,52.0,52.0,52.0,51.0,53.0,52.0,51.0
272,32.0,52.0,51.0,50.0,53.0,54.0,53.0,52.0,51.0,54.0,52.0,51.0,50.0,54.0,52.0,51.0,51.0,53.0,52.0,52.0,52.0,53.0,51.0,52.0,53.0,57.0,52.0,42.0,52.0,50.0,50.0,54.0,53.0,53.0,54.0,50.0,52.0,52.0,53.0,52.0,55.0,50.0,53.0,53.0,50.0,52.0,52.0,52.0,53.0,49.0,51.0,52.0
273,44.0,53.0,51.0,51.0,52.0,53.0,55.0,51.0,52.0,52.0,52.0,51.0,53.0,51.0,53.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,54.0,51.0,50.0,57.0,52.0,-22.0,52.0,49.0,52.0,52.0,50.0,53.0,53.0,51.0,54.0,55.0,51.0,52.0,55.0,53.0,52.0,52.0,49.0,52.0,52.0,54.0,53.0,52.0,53.0,52.0
274,47.0,50.0,52.0,52.0,53.0,53.0,50.0,53.0,52.0,52.0,52.0,51.0,53.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,53.0,55.0,52.0,-41.0,53.0,52.0,49.0,52.0,53.0,50.0,52.0,52.0,52.0,51.0,50.0,52.0,54.0,51.0,53.0,51.0,53.0,55.0,53.0,55.0,51.0,52.0,51.0,51.0
275,47.0,52.0,50.0,49.0,52.0,52.0,53.0,53.0,55.0,52.0,53.0,51.0,53.0,53.0,52.0,52.0,52.0,54.0,51.0,51.0,53.0,53.0,52.0,53.0,53.0,55.0,51.0,6.0,54.0,52.0,51.0,53.0,54.0,52.0,53.0,51.0,54.0,52.0,51.0,53.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,51.0,55.0,50.0,51.0,51.0
276,52.0,53.0,51.0,53.0,52.0,53.0,50.0,54.0,54.0,53.0,51.0,51.0,52.0,52.0,51.0,52.0,54.0,52.0,53.0,53.0,50.0,54.0,52.0,53.0,54.0,54.0,52.0,38.0,52.0,52.0,51.0,55.0,52.0,52.0,52.0,51.0,54.0,53.0,51.0,52.0,55.0,52.0,52.0,53.0,50.0,48.0,51.0,53.0,51.0,52.0,50.0,52.0
277,50.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,50.0,51.0,52.0,51.0,52.0,52.0,50.0,52.0,50.0,51.0,51.0,52.0,52.0,50.0,49.0,53.0,53.0,54.0,51.0,46.0,52.0,53.0,52.0,53.0,51.0,53.0,53.0,49.0,51.0,53.0,52.0,56.0,53.0,52.0,53.0,51.0,51.0,49.0,53.0,54.0,53.0,50.0,51.0,53.0
278,50.0,52.0,51.0,51.0,54.0,51.0,53.0,51.0,52.0,51.0,53.0,52.0,50.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,51.0,51.0,54.0,53.0,53.0,48.0,53.0,52.0,53.0,52.0,53.0,53.0,51.0,52.0,55.0,53.0,53.0,56.0,52.0,53.0,52.0,51.0,50.0,52.0,51.0,52.0,56.0,53.0,53.0,50.0
279,50.0,52.0,51.0,51.0,54.0,52.0,53.0,52.0,52.0,55.0,53.0,53.0,53.0,53.0,52.0,53.0,54.0,52.0,53.0,51.0,51.0,52.0,52.0,52.0,54.0,53.0,51.0,57.0,50.0,55.0,52.0,53.0,52.0,53.0,53.0,52.0,54.0,52.0,51.0,53.0,54.0,52.0,55.0,49.0,53.0,51.0,54.0,51.0,51.0,51.0,51.0,53.0
280,49.0,51.0,48.0,53.0,52.0,51.0,55.0,53.0,51.0,51.0,53.0,51.0,51.0,55.0,53.0,53.0,53.0,55.0,52.0,50.0,53.0,53.0,54.0,52.0,53.0,53.0,52.0,53.0,51.0,51.0,52.0,53.0,52.0,53.0,52.0,50.0,53.0,51.0,50.0,54.0,55.0,53.0,52.0,52.0,53.0,52.0,52.0,51.0,54.0,51.0,52.0,51.0
281,51.0,53.0,52.0,52.0,52.0,54.0,52.0,51.0,52.0,53.0,53.0,53.0,51.0,51.0,48.0,54.0,51.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,52.0,45.0,53.0,54.0,51.0,53.0,51.0,53.0,54.0,51.0,55.0,53.0,52.0,54.0,52.0,54.0,52.0,53.0,52.0,51.0,50.0,53.0,54.0,50.0,52.0,51.0
282,53.0,51.0,55.0,52.0,54.0,53.0,53.0,54.0,51.0,53.0,55.0,53.0,53.0,51.0,52.0,51.0,50.0,52.0,54.0,52.0,52.0,51.0,51.0,52.0,51.0,52.0,50.0,48.0,50.0,54.0,50.0,52.0,50.0,53.0,53.0,52.0,52.0,50.0,53.0,54.0,53.0,52.0,51.0,52.0,53.0,54.0,51.0,54.0,54.0,51.0,53.0,53.0
283,53.0,52.0,49.0,55.0,52.0,50.0,52.0,51.0,52.0,52.0,53.0,51.0,51.0,39.0,53.0,54.0,54.0,52.0,52.0,51.0,52.0,54.0,55.0,53.0,52.0,49.0,51.0,52.0,53.0,53.0,52.0,52.0,51.0,52.0,51.0,48.0,52.0,52.0,52.0,54.0,53.0,53.0,51.0,52.0,50.0,50.0,52.0,51.0,56.0,51.0,51.0,53.0
284,48.0,55.0,50.0,53.0,52.0,49.0,52.0,53.0,52.0,52.0,50.0,54.0,50.0,-56.0,49.0,52.0,50.0,51.0,52.0,51.0,51.0,52.0,53.0,52.0,54.0,51.0,50.0,51.0,53.0,55.0,50.0,52.0,53.0,52.0,54.0,53.0,54.0,54.0,51.0,54.0,52.0,54.0,52.0,50.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,53.0
285,49.0,52.0,55.0,52.0,53.0,51.0,54.0,51.0,50.0,52.0,53.0,52.0,50.0,-124.0,52.0,52.0,50.0,53.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,51.0,49.0,53.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,51.0,53.0,50.0,53.0,52.0,52.0,52.0,52.0,51.0,51.0,54.0,52.0,50.0,53.0
286,56.0,52.0,52.0,52.0,54.0,51.0,54.0,53.0,52.0,51.0,53.0,53.0,52.0,-77.0,55.0,49.0,54.0,53.0,51.0,53.0,51.0,53.0,53.0,53.0,51.0,51.0,53.0,53.0,53.0,51.0,52.0,53.0,51.0,52.0,53.0,51.0,55.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,53.0,51.0,51.0,54.0,52.0,53.0,53.0
287,52.0,51.0,50.0,51.0,53.0,53.0,53.0,54.0,54.0,52.0,50.0,52.0,49.0,-7.0,50.0,49.0,51.0,52.0,53.0,52.0,53.0,53.0,51.0,53.0,53.0,53.0,53.0,55.0,53.0,55.0,50.0,53.0,52.0,53.0,55.0,52.0,53.0,52.0,52.0,54.0,52.0,52.0,54.0,51.0,51.0,53.0,53.0,53.0,56.0,51.0,51.0,52.0
288,48.0,52.0,52.0,51.0,51.0,52.0,52.0,50.0,52.0,50.0,51.0,52.0,51.0,24.0,54.0,49.0,49.0,53.0,51.0,52.0,53.0,53.0,50.0,51.0,50.0,54.0,53.0,52.0,52.0,50.0,53.0,53.0,53.0,53.0,51.0,50.0,52.0,54.0,53.0,51.0,54.0,52.0,50.0,53.0,53.0,53.0,53.0,51.0,54.0,53.0,55.0,53.0
289,52.0,51.0,54.0,53.0,54.0,53.0,51.0,51.0,53.0,53.0,51.0,52.0,53.0,36.0,51.0,50.0,53.0,52.0,53.0,52.0,51.0,53.0,51.0,53.0,50.0,54.0,54.0,52.0,53.0,51.0,52.0,50.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,54.0,51.0,51.0
290,54.0,52.0,53.0,52.0,51.0,50.0,54.0,54.0,52.0,52.0,50.0,51.0,51.0,48.0,50.0,53.0,53.0,50.0,51.0,53.0,52.0,53.0,50.0,52.0,54.0,52.0,52.0,52.0,53.0,53.0,52.0,51.0,52.0,52.0,53.0,42.0,52.0,52.0,53.0,51.0,54.0,51.0,53.0,55.0,53.0,53.0,51.0,51.0,54.0,52.0,52.0,52.0
291,51.0,52.0,51.0,55.0,54.0,51.0,52.0,54.0,52.0,53.0,51.0,51.0,52.0,48.0,50.0,52.0,52.0,53.0,54.0,53.0,51.0,51.0,50.0,52.0,53.0,51.0,52.0,51.0,53.0,54.0,50.0,54.0,52.0,53.0,54.0,-62.0,55.0,52.0,54.0,50.0,53.0,52.0,52.0,53.0,51.0,54.0,51.0,51.0,53.0,51.0,53.0,51.0
292,51.0,52.0,50.0,53.0,52.0,52.0,53.0,53.0,51.0,49.0,53.0,53.0,51.0,35.0,55.0,53.0,49.0,51.0,51.0,52.0,53.0,52.0,51.0,53.0,52.0,50.0,51.0,56.0,52.0,51.0,51.0,53.0,53.0,52.0,51.0,-127.0,53.0,51.0,52.0,52.0,53.0,53.0,54.0,53.0,54.0,55.0,51.0,50.0,52.0,50.0,52.0,53.0
293,51.0,51.0,53.0,55.0,53.0,49.0,53.0,52.0,53.0,52.0,52.0,52.0,50.0,39.0,52.0,52.0,53.0,53.0,54.0,52.0,51.0,54.0,52.0,52.0,50.0,53.0,51.0,53.0,52.0,50.0,51.0,55.0,51.0,53.0,53.0,-127.0,51.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,50.0,53.0,49.0,50.0,51.0,50.0,52.0,55.0
294,52.0,55.0,52.0,53.0,54.0,52.0,56.0,52.0,54.0,55.0,54.0,53.0,51.0,45.0,51.0,52.0,53.0,53.0,51.0,50.0,51.0,52.0,52.0,53.0,54.0,52.0,50.0,51.0,51.0,56.0,51.0,51.0,54.0,52.0,54.0,-52.0,50.0,52.0,51.0,53.0,54.0,51.0,54.0,53.0,50.0,52.0,51.0,52.0,51.0,51.0,53.0,54.0
295,51.0,52.0,50.0,53.0,52.0,53.0,52.0,54.0,52.0,50.0,55.0,51.0,50.0,47.0,53.0,52.0,52.0,51.0,52.0,52.0,53.0,52.0,52.0,51.0,54.0,52.0,51.0,53.0,54.0,53.0,52.0,49.0,52.0,53.0,52.0,13.0,51.0,54.0,54.0,51.0,54.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,53.0,53.0
296,51.0,50.0,55.0,53.0,54.0,53.0,50.0,53.0,50.0,51.0,52.0,51.0,53.0,47.0,53.0,52.0,53.0,54.0,51.0,52.0,53.0,52.0,53.0,53.0,51.0,52.0,51.0,52.0,53.0,51.0,54.0,51.0,51.0,53.0,50.0,25.0,52.0,54.0,52.0,52.0,55.0,54.0,52.0,52.0,51.0,54.0,52.0,53.0,52.0,53.0,51.0,52.0
